"Step","model.ln_type: mlp-pre - train/loss","model.ln_type: mlp-pre - train/loss__MIN","model.ln_type: mlp-pre - train/loss__MAX","model.ln_type: pre - train/loss","model.ln_type: pre - train/loss__MIN","model.ln_type: pre - train/loss__MAX","model.ln_type: attn-pre - train/loss","model.ln_type: attn-pre - train/loss__MIN","model.ln_type: attn-pre - train/loss__MAX","model.ln_type: off - train/loss","model.ln_type: off - train/loss__MIN","model.ln_type: off - train/loss__MAX"
"82","1.4641762733459474","1.3147473335266113","1.7556010484695435","0.21583094596862792","0.2016456425189972","0.24131840467453003","0.06781216487288474","0.061875998973846436","0.08401750028133392","3.809216260910034","3.784219741821289","3.8342926502227783"
"83","1.4005278587341308","1.2529146671295166","1.6928150653839111","0.1962655872106552","0.18314141035079956","0.21950219571590424","0.0605276308953762","0.05496564880013466","0.0759207159280777","3.7871162414550783","3.7613701820373535","3.812286615371704"
"84","1.3371121406555175","1.1915929317474365","1.6275700330734253","0.17870524525642395","0.1666259467601776","0.19983601570129395","0.05430172681808472","0.04875301569700241","0.06892865896224976","3.7646501541137694","3.7397050857543945","3.7884719371795654"
"85","1.2748778581619262","1.131521463394165","1.5660680532455444","0.1629303753376007","0.15181677043437958","0.18209581077098846","0.04899098500609398","0.04349280521273613","0.06287533044815063","3.7412694454193116","3.7160987854003906","3.7647128105163574"
"86","1.2133948802947998","1.0736497640609741","1.5033444166183472","0.14881604313850402","0.1386343240737915","0.16618752479553223","0.04444273486733437","0.0390143096446991","0.057647302746772766","3.7174622058868407","3.6921181678771973","3.740884304046631"
"87","1.1524785041809082","1.0143927335739136","1.440723180770874","0.13618099093437194","0.12684984505176544","0.15189021825790405","0.04051074236631393","0.03519153594970703","0.05306025967001915","3.692998695373535","3.6679627895355225","3.7151129245758057"
"88","1.092465329170227","0.956871747970581","1.3792442083358765","0.12490269690752029","0.11636162549257278","0.139113187789917","0.0371339425444603","0.03191177546977997","0.049103908240795135","3.667517614364624","3.642009973526001","3.689150810241699"
"89","1.0338873505592345","0.9020993113517761","1.3176689147949219","0.11481739282608032","0.10700578987598419","0.12764891982078552","0.034176130220294","0.029081474989652634","0.04553458094596863","3.6417815685272217","3.616427421569824","3.6626768112182617"
"90","0.9768014073371887","0.8485847115516663","1.257736086845398","0.10582247078418731","0.09866427630186081","0.11742468178272247","0.03161469288170338","0.026667779311537743","0.042427439242601395","3.614993524551392","3.589365005493164","3.6346890926361084"
"91","0.9202213287353516","0.7948854565620422","1.197627067565918","0.09777910113334656","0.09123406559228897","0.10825331509113312","0.02938370704650879","0.0245728250592947","0.03971806913614273","3.587639904022217","3.5617854595184326","3.608325958251953"
