"Step","model.output_scaling: 0.75 - train/loss","model.output_scaling: 0.75 - train/loss__MIN","model.output_scaling: 0.75 - train/loss__MAX","model.output_scaling: 1.5 - train/loss","model.output_scaling: 1.5 - train/loss__MIN","model.output_scaling: 1.5 - train/loss__MAX","model.output_scaling: 1.25 - train/loss","model.output_scaling: 1.25 - train/loss__MIN","model.output_scaling: 1.25 - train/loss__MAX","model.output_scaling: 1 - train/loss","model.output_scaling: 1 - train/loss__MIN","model.output_scaling: 1 - train/loss__MAX","model.output_scaling: 0.5 - train/loss","model.output_scaling: 0.5 - train/loss__MIN","model.output_scaling: 0.5 - train/loss__MAX"
"33","4.54979887008667","4.541224002838135","4.5638427734375","4.48114423751831","4.468858242034912","4.495853900909424","4.498464870452881","4.487888336181641","4.513146877288818","4.520618534088134","4.512322902679443","4.535121440887451","4.590658569335938","4.579967498779297","4.604974746704102"
"34","4.538130569458008","4.529915809631348","4.5520124435424805","4.467581844329834","4.455151557922363","4.48276424407959","4.485423183441162","4.4746270179748535","4.500547409057617","4.508192253112793","4.499577522277832","4.522974967956543","4.580150127410889","4.569913864135742","4.593898296356201"
"35","4.52645435333252","4.5183796882629395","4.540462493896484","4.453937339782715","4.4413957595825195","4.469525337219238","4.472336387634277","4.461348056793213","4.487955093383789","4.495761680603027","4.486807346343994","4.511031627655029","4.569607162475586","4.559920310974121","4.582815170288086"
"36","4.514784145355224","4.5065531730651855","4.529208183288574","4.440192699432373","4.427589416503906","4.4559783935546875","4.459175968170166","4.448058605194092","4.475158214569092","4.483316135406494","4.47408390045166","4.4991302490234375","4.559046936035156","4.5499114990234375","4.571899890899658"
"37","4.503141117095947","4.494487285614014","4.5181427001953125","4.42633752822876","4.413726329803467","4.4420671463012695","4.445914554595947","4.434737205505371","4.461991310119629","4.470825672149658","4.4613471031188965","4.4870285987854","4.548458385467529","4.53973388671875","4.561247825622559"
"38","4.491522407531738","4.482296466827393","4.507046222686768","4.412366962432861","4.399808406829834","4.428674697875977","4.432535171508789","4.421356201171875","4.44842004776001","4.458250236511231","4.448240756988525","4.4745259284973145","4.537853527069092","4.52927303314209","4.550897121429443"
"39","4.479884624481201","4.470090866088867","4.495650291442871","4.398297882080078","4.38587760925293","4.415404319763184","4.419039630889893","4.407917022705078","4.434545040130615","4.445565319061279","4.435204029083252","4.461572647094727","4.527285385131836","4.518566131591797","4.540829181671143"
"40","4.4681727409362795","4.457938194274902","4.48378849029541","4.384163093566895","4.371993541717529","4.402000427246094","4.40545244216919","4.394465923309326","4.420536994934082","4.432767486572265","4.422239780426025","4.44827938079834","4.516804981231689","4.507735252380371","4.530941486358643"
"41","4.456358337402344","4.445876121520996","4.471481800079346","4.370013999938965","4.358209133148193","4.388499736785889","4.3918146133422855","4.380740642547607","4.406546115875244","4.419880771636963","4.409292221069336","4.434845447540283","4.506400394439697","4.496875286102295","4.521010875701904"
"42","4.444450092315674","4.433903217315674","4.458911418914795","4.355903816223145","4.343543529510498","4.374954700469971","4.378180027008057","4.366727828979492","4.393233776092529","4.406942081451416","4.396274089813232","4.421442031860352","4.495985507965088","4.48600435256958","4.510768890380859"
"43","4.432487487792969","4.421977996826172","4.4463067054748535","4.341864395141601","4.328797340393066","4.361393451690674","4.364595794677735","4.352616786956787","4.380256175994873","4.393995475769043","4.383136749267578","4.408162593841553","4.485468101501465","4.475127220153809","4.500053882598877"
"44","4.420508575439453","4.410032272338867","4.433818817138672","4.327910232543945","4.314064979553223","4.347832679748535","4.351091480255127","4.338456630706787","4.3673095703125","4.381081867218017","4.3698954582214355","4.39501428604126","4.474827098846435","4.464288234710693","4.488902568817139"
