"Step","model.output_scaling: 1.5 - grads/update_norm","model.output_scaling: 1.5 - grads/update_norm__MIN","model.output_scaling: 1.5 - grads/update_norm__MAX","model.output_scaling: 1.25 - grads/update_norm","model.output_scaling: 1.25 - grads/update_norm__MIN","model.output_scaling: 1.25 - grads/update_norm__MAX","model.output_scaling: 1 - grads/update_norm","model.output_scaling: 1 - grads/update_norm__MIN","model.output_scaling: 1 - grads/update_norm__MAX","model.output_scaling: 0.75 - grads/update_norm","model.output_scaling: 0.75 - grads/update_norm__MIN","model.output_scaling: 0.75 - grads/update_norm__MAX","model.output_scaling: 0.5 - grads/update_norm","model.output_scaling: 0.5 - grads/update_norm__MIN","model.output_scaling: 0.5 - grads/update_norm__MAX"
"28","0.1714315140085434","0.1689795383778974","0.17385767452830667","0.262054136337729","0.25859933737910656","0.2652704870612707","0.4149685852225199","0.40899484557641497","0.418372162039015","0.6028367611910725","0.5960685776287343","0.6137973742694557","1.1489553295248176","1.1217786184728527","1.1868155957577502"
"29","0.17310277274683336","0.17059749627698226","0.175599975786103","0.26510891562948347","0.2617130100865647","0.2682374856374053","0.41408793569452396","0.40889620828592815","0.41741011254208593","0.6009338727800174","0.5948031227509952","0.6127889908290668","1.1761764028615331","1.1426749582419262","1.2168123573873704"
"30","0.17483418287112154","0.17228873862697824","0.17740603504272534","0.2680222639728342","0.26475036285229686","0.27104598758722287","0.41277048553944695","0.408349401112644","0.4162370632288579","0.600069373772605","0.5936780354867016","0.612854756398846","1.2056039555988223","1.1686709376691042","1.2478564690239677"
"31","0.17662205228386885","0.1740532083634873","0.17925550464552134","0.2707379060341789","0.2676718961761161","0.27372393417185437","0.41109974050885906","0.40717428558295127","0.4150097828855774","0.5997477851674083","0.5926585631232626","0.6130182499919279","1.2357655405426278","1.1986644030895717","1.2770349489476085"
"32","0.17846054194426894","0.17587766336949254","0.18113652358257537","0.2732146662557051","0.26987506713853715","0.2763078445469545","0.4091718126361162","0.4045837931604582","0.41371330155398145","0.5998115887146577","0.5917515109807399","0.6130867460783544","1.2651162130853009","1.2297272560800014","1.3032973083711383"
"33","0.18033688203521395","0.17773699379326371","0.18304306647728816","0.2754390024790073","0.27174802795819286","0.27858217303927385","0.4070611212560424","0.40204695474624796","0.41211520601352614","0.6000658793668274","0.590946687108509","0.6131439363755014","1.2921957204928318","1.261432207461548","1.3259109317071005"
"34","0.18223301903996242","0.17961004811958228","0.18495987920459486","0.27739015586171206","0.27349206090251604","0.2805177416859465","0.4048195306154259","0.39969721446476014","0.41008600058647404","0.6002967005030933","0.5898335642452146","0.6129500776266135","1.3151917460699978","1.2909459916640478","1.3429095329543663"
"35","0.18412981662831399","0.1814829149088865","0.18686190390522847","0.2790418601307191","0.2750677914025349","0.28209711665222037","0.40251626811452795","0.39755110996373794","0.40780048636648036","0.6006197240148945","0.5885895132885595","0.6126158480940035","1.3327368875203471","1.3119412475469767","1.3527462535494141"
"36","0.18600905009958255","0.18334430387968012","0.1887258952287377","0.28038402552741404","0.27645165893555096","0.2833268670303858","0.40012791511591334","0.3954167801156256","0.4053649542620302","0.6012595587756274","0.5878053714194488","0.6123068723179622","1.3434066406484333","1.3291692565105315","1.357705967062711"
"37","0.1878535239343284","0.18518178676692554","0.19053747497241286","0.2814305052502796","0.2776560248686901","0.2842445756866117","0.3976212769141539","0.39317316352619797","0.40283039450087155","0.6022091678845255","0.5875784884128111","0.6120373098784555","1.3462832481684426","1.3369366907449354","1.3559221353614952"
"38","0.18964797147224435","0.18698242110349017","0.19228977349734724","0.28220061021397","0.27868394230194987","0.28489651075051187","0.39507312280547413","0.39089403146252355","0.4002635113261372","0.6034865230315064","0.5879755162333409","0.6122329187817792","1.3400843053641942","1.321800978024412","1.3602497486562086"
"39","0.1913799148165422","0.1887355947522981","0.1939777518287584","0.28271338434540866","0.2795081192865748","0.2853341811442153","0.39266411744731433","0.38879964056945143","0.39798356896694304","0.6052063990782223","0.5897145764607459","0.6143560352232085","1.3245867780676934","1.295678463295008","1.357037055297258"
"40","0.1930388188689891","0.19043431587277612","0.19559234751482024","0.283007069195916","0.28011662092856343","0.2856280361968251","0.39056707772937393","0.3869502947305036","0.3962397419730297","0.6076055159371482","0.5930945492709444","0.6171497075529663","1.2994064508747323","1.2596373395695308","1.3414872596077498"
"41","0.19461424479095443","0.19207286078216665","0.1971197662812759","0.2831236562780123","0.28052162138702263","0.28581919446100074","0.38884002422721065","0.3852730825768561","0.395040554778478","0.6109335908478974","0.5978050684486305","0.620590002233491","1.2753405399159778","1.2354098981497805","1.3257118417696687"
"42","0.1960940763652892","0.19364375583225976","0.19854610488324628","0.2830838847701644","0.28072021807876757","0.2859058039129053","0.3875002343043399","0.38380071828831797","0.39420527060372357","0.6150866217230798","0.6035568488344986","0.6252307507365994","1.2582804493502373","1.2216843267193764","1.3042844788900194"
"43","0.19746497303259722","0.19513682524333664","0.19985993259491705","0.28289669290494657","0.28028463586074165","0.2858727643092429","0.386497763263791","0.3826067989759352","0.3935575809087039","0.6203435325262147","0.6104074565775417","0.631117500048437","1.2326622240837084","1.1899178932693861","1.2730787643283012"
"44","0.19871736894973321","0.19643543554045922","0.20105223390250948","0.2825691507683228","0.27974185367514914","0.2856788741236819","0.38578260249852875","0.38168574566556374","0.3930340294748531","0.6267261803011792","0.6182525473425389","0.6384149179114669","1.1908924586548324","1.1495758169721613","1.2172530503334018"
"45","0.19985110275551404","0.197513282971107","0.20211666589178645","0.2821155597534846","0.27917172124101336","0.2853242804837263","0.38530598913960257","0.38094336435725545","0.3926076304016917","0.6342904142649146","0.6266804260029852","0.6468117462544337","1.150939868893067","1.1223965273211363","1.1821027449255155"
"46","0.2008695832571999","0.19851329725480354","0.20305110126756637","0.2815475254534321","0.2785714045336245","0.28483947235887713","0.38499350416683564","0.3802723991906739","0.39223874956414984","0.6428187121248421","0.6345395380230693","0.6562064502689597","1.1291988966721032","1.1085968055447868","1.1658328242666267"
"47","0.20177125456325573","0.19943809802845736","0.20385890056673792","0.2808563017963958","0.27790822020563644","0.28421462923573004","0.38479920737689965","0.37961624971470187","0.39188621795971795","0.6519811972788686","0.6422649457818288","0.6662826691269416","1.1112149475450768","1.089975118028351","1.1346350163653574"
"48","0.20255481587609697","0.200283562906168","0.20462628263721583","0.28002700144363574","0.2771397015525644","0.2834292297962065","0.38470938284830697","0.37902952632982373","0.39159477312860713","0.6612610160470653","0.648596496503927","0.6767884430519912","1.079824671697723","1.0595199057404532","1.1067680081674454"
"49","0.20322373091389928","0.2010449523851777","0.20527485754537786","0.2790593379935964","0.27625176863794343","0.28246952214835547","0.3847109429056765","0.37854057310969746","0.3913709192846332","0.6707427697352388","0.6552650407584577","0.6876186622791326","1.0547947906036108","1.0393476762581584","1.0834447373596452"
"50","0.20378504571373948","0.2017173253322516","0.20582056994153541","0.2779793553698585","0.2752712059630114","0.28137898320757454","0.38478470522362446","0.37812527122614753","0.39117884006828463","0.6803741345348686","0.6629633690808118","0.6987610376495003","1.0417093193503042","1.030961633108514","1.0739387609051891"
"51","0.2042449941578858","0.2022928857648545","0.20627585123106046","0.276827857310421","0.2742273495468373","0.2802452294511694","0.3849207478544394","0.37779328641723","0.39105463558195674","0.6908845550251647","0.672912704260703","0.7101481227451216","1.021299949551126","1.0081422754226324","1.0505955030203025"
"52","0.20460861227722765","0.202764133716064","0.20664796451446227","0.275635291723386","0.273120906149299","0.2791356327548334","0.3851502486282946","0.3776359732009294","0.3910916673788687","0.701860110270465","0.6834350601674118","0.7214620212747658","0.9998106275830316","0.9819537293396607","1.0196344667494945"
"53","0.2048838266489908","0.20313241197066245","0.20694559512040234","0.27443149439590486","0.2719540907809481","0.27808163814022047","0.38550236481984107","0.3777487067601559","0.39131788681855656","0.7127904494610829","0.6935335292560486","0.7324868099713411","0.982534778908416","0.9655196516064931","0.9943064999341671"
"54","0.20508044200515477","0.20341012289143737","0.20717556530818898","0.2732472568156581","0.2707545453049544","0.2770852252816522","0.3860029910137909","0.3781341449252798","0.3917072586434358","0.7230298219406881","0.7030672018616358","0.74286123851029","0.9595679077244237","0.9358742613277121","0.97451790610746"
"55","0.20520659896074478","0.2036114461253149","0.20734295968011243","0.2721186590315683","0.26956898299814924","0.27615858658291653","0.3866576297628196","0.37873505400282137","0.39227922398563875","0.732599151854626","0.7127354129561445","0.7524670182945125","0.9377980871527878","0.9116662665884098","0.9572538051052595"
"56","0.20526745832844182","0.2036087868029216","0.20745452324896976","0.27108068921454265","0.2684482624815581","0.27532508694424324","0.3874468473824215","0.3795287613047627","0.39301587618057937","0.7418165119925801","0.7225217077283637","0.7611694253587405","0.9145419953333835","0.8920126328945431","0.9374210634739188"
