"Step","mlp-pre-ra-eps-1e-8 - test/accuracy","mlp-pre-ra-eps-1e-8 - test/accuracy__MIN","mlp-pre-ra-eps-1e-8 - test/accuracy__MAX","attn-pre-ra-eps-1e-8 - test/accuracy","attn-pre-ra-eps-1e-8 - test/accuracy__MIN","attn-pre-ra-eps-1e-8 - test/accuracy__MAX","pre-ra-eps-1e-8 - test/accuracy","pre-ra-eps-1e-8 - test/accuracy__MIN","pre-ra-eps-1e-8 - test/accuracy__MAX","none-ra-eps-1e-8 - test/accuracy","none-ra-eps-1e-8 - test/accuracy__MIN","none-ra-eps-1e-8 - test/accuracy__MAX"
"66","0.07462519407272339","0.07462519407272339","0.07462519407272339","0.24546879529953003","0.24546879529953003","0.24546879529953003","0.07865294069051743","0.07865294069051743","0.07865294069051743","0.0027970464434474707","0.0027970464434474707","0.0027970464434474707"
"67","0.0783172994852066","0.0783172994852066","0.0783172994852066","0.25072723627090454","0.25072723627090454","0.25072723627090454","0.0850302129983902","0.0850302129983902","0.0850302129983902","0.002908928319811821","0.002908928319811821","0.002908928319811821"
"68","0.08469456434249878","0.08469456434249878","0.08469456434249878","0.2569926083087921","0.2569926083087921","0.2569926083087921","0.09073618054389954","0.09073618054389954","0.09073618054389954","0.002908928319811821","0.002908928319811821","0.002908928319811821"
"69","0.0884985476732254","0.0884985476732254","0.0884985476732254","0.2638173997402191","0.2638173997402191","0.2638173997402191","0.09588275104761124","0.09588275104761124","0.09588275104761124","0.0032445737160742283","0.0032445737160742283","0.0032445737160742283"
"70","0.09297382086515427","0.09297382086515427","0.09297382086515427","0.26997092366218567","0.26997092366218567","0.26997092366218567","0.10304319113492966","0.10304319113492966","0.10304319113492966","0.002908928319811821","0.002908928319811821","0.002908928319811821"
"71","0.09834414720535278","0.09834414720535278","0.09834414720535278","0.27478182315826416","0.27478182315826416","0.27478182315826416","0.10818975418806076","0.10818975418806076","0.10818975418806076","0.0033564555924385786","0.0033564555924385786","0.0033564555924385786"
"72","0.1037144809961319","0.1037144809961319","0.1037144809961319","0.27992838621139526","0.27992838621139526","0.27992838621139526","0.11356008052825928","0.11356008052825928","0.11356008052825928","0.0030208099633455276","0.0030208099633455276","0.0030208099633455276"
"73","0.10908480733633041","0.10908480733633041","0.10908480733633041","0.2826135754585266","0.2826135754585266","0.2826135754585266","0.11971358209848404","0.11971358209848404","0.11971358209848404","0.002908928319811821","0.002908928319811821","0.002908928319811821"
"74","0.11568583548069","0.11568583548069","0.11568583548069","0.2858581244945526","0.2858581244945526","0.2858581244945526","0.12687402963638306","0.12687402963638306","0.12687402963638306","0.0033564555924385786","0.0033564555924385786","0.0033564555924385786"
"75","0.12228686362504959","0.12228686362504959","0.12228686362504959","0.28820765018463135","0.28820765018463135","0.28820765018463135","0.13190869987010956","0.13190869987010956","0.13190869987010956","0.0033564555924385786","0.0033564555924385786","0.0033564555924385786"
"76","0.1294473111629486","0.1294473111629486","0.1294473111629486","0.289102703332901","0.289102703332901","0.289102703332901","0.1395166665315628","0.1395166665315628","0.1395166665315628","0.00391586497426033","0.00391586497426033","0.00391586497426033"
"77","0.13526515662670135","0.13526515662670135","0.13526515662670135","0.29010963439941406","0.29010963439941406","0.29010963439941406","0.146117702126503","0.146117702126503","0.146117702126503","0.0035802193451672792","0.0035802193451672792","0.0035802193451672792"
"78","0.1428731232881546","0.1428731232881546","0.1428731232881546","0.2905571758747101","0.2905571758747101","0.2905571758747101","0.15283061563968658","0.15283061563968658","0.15283061563968658","0.0036921012215316296","0.0036921012215316296","0.0036921012215316296"
"79","0.15171179175376892","0.15171179175376892","0.15171179175376892","0.29134035110473633","0.29134035110473633","0.29134035110473633","0.16099798679351807","0.16099798679351807","0.16099798679351807","0.00380398309789598","0.00380398309789598","0.00380398309789598"
"80","0.15887223184108734","0.15887223184108734","0.15887223184108734","0.29201164841651917","0.29201164841651917","0.29201164841651917","0.16759902238845825","0.16759902238845825","0.16759902238845825","0.0042515103705227375","0.0042515103705227375","0.0042515103705227375"
"81","0.16625644266605377","0.16625644266605377","0.16625644266605377","0.2927948236465454","0.2927948236465454","0.2927948236465454","0.17408816516399384","0.17408816516399384","0.17408816516399384","0.004587156232446432","0.004587156232446432","0.004587156232446432"
"82","0.17453569173812866","0.17453569173812866","0.17453569173812866","0.29335421323776245","0.29335421323776245","0.29335421323776245","0.1818080097436905","0.1818080097436905","0.1818080097436905","0.005705974530428648","0.005705974530428648","0.005705974530428648"
"83","0.1837100088596344","0.1837100088596344","0.1837100088596344","0.2940255105495453","0.2940255105495453","0.2940255105495453","0.1905348002910614","0.1905348002910614","0.1905348002910614","0.006489147432148457","0.006489147432148457","0.006489147432148457"
"84","0.19165362417697906","0.19165362417697906","0.19165362417697906","0.2943611741065979","0.2943611741065979","0.2943611741065979","0.19702394306659698","0.19702394306659698","0.19702394306659698","0.0066010295413434505","0.0066010295413434505","0.0066010295413434505"
"85","0.19825464487075806","0.19825464487075806","0.19825464487075806","0.29492056369781494","0.29492056369781494","0.29492056369781494","0.20340120792388916","0.20340120792388916","0.20340120792388916","0.00783172994852066","0.00783172994852066","0.00783172994852066"
"86","0.2039606273174286","0.2039606273174286","0.2039606273174286","0.29492056369781494","0.29492056369781494","0.29492056369781494","0.20989036560058594","0.20989036560058594","0.20989036560058594","0.007943611592054367","0.007943611592054367","0.007943611592054367"
"87","0.21123294532299042","0.21123294532299042","0.21123294532299042","0.29492056369781494","0.29492056369781494","0.29492056369781494","0.217945858836174","0.217945858836174","0.217945858836174","0.008503020741045475","0.008503020741045475","0.008503020741045475"
"88","0.2195121943950653","0.2195121943950653","0.2195121943950653","0.29492056369781494","0.29492056369781494","0.29492056369781494","0.22398747503757477","0.22398747503757477","0.22398747503757477","0.009286194108426571","0.009286194108426571","0.009286194108426571"
"89","0.2246587574481964","0.2246587574481964","0.2246587574481964","0.29480868577957153","0.29480868577957153","0.29480868577957153","0.2310360223054886","0.2310360223054886","0.2310360223054886","0.011076303198933601","0.011076303198933601","0.011076303198933601"
"90","0.23159544169902802","0.23159544169902802","0.23159544169902802","0.29480868577957153","0.29480868577957153","0.29480868577957153","0.2366301268339157","0.2366301268339157","0.2366301268339157","0.012418885715305805","0.012418885715305805","0.012418885715305805"
"91","0.23763705790042877","0.23763705790042877","0.23763705790042877","0.29492056369781494","0.29492056369781494","0.29492056369781494","0.24244797229766846","0.24244797229766846","0.24244797229766846","0.012978294864296913","0.012978294864296913","0.012978294864296913"
"92","0.24412620067596436","0.24412620067596436","0.24412620067596436","0.29503244161605835","0.29503244161605835","0.29503244161605835","0.2482658326625824","0.2482658326625824","0.2482658326625824","0.014992168173193932","0.014992168173193932","0.014992168173193932"
"93","0.2499440610408783","0.2499440610408783","0.2499440610408783","0.29525622725486755","0.29525622725486755","0.29525622725486755","0.2547549903392792","0.2547549903392792","0.2547549903392792","0.016558514907956123","0.016558514907956123","0.016558514907956123"
"94","0.254978746175766","0.254978746175766","0.254978746175766","0.29525622725486755","0.29525622725486755","0.29525622725486755","0.25811144709587097","0.25811144709587097","0.25811144709587097","0.016894159838557243","0.016894159838557243","0.016894159838557243"
"95","0.25945401191711426","0.25945401191711426","0.25945401191711426","0.29525622725486755","0.29525622725486755","0.29525622725486755","0.262251079082489","0.262251079082489","0.262251079082489","0.018124859780073166","0.018124859780073166","0.018124859780073166"
"96","0.2653837502002716","0.2653837502002716","0.2653837502002716","0.29536810517311096","0.29536810517311096","0.29536810517311096","0.2668382227420807","0.2668382227420807","0.2668382227420807","0.019467443227767944","0.019467443227767944","0.019467443227767944"
"97","0.2684045732021332","0.2684045732021332","0.2684045732021332","0.29547998309135437","0.29547998309135437","0.29547998309135437","0.2704184353351593","0.2704184353351593","0.2704184353351593","0.020698143169283867","0.020698143169283867","0.020698143169283867"
"98","0.27164915204048157","0.27164915204048157","0.27164915204048157","0.2955918610095978","0.2955918610095978","0.2955918610095978","0.27444618940353394","0.27444618940353394","0.27444618940353394","0.02226448990404606","0.02226448990404606","0.02226448990404606"
"99","0.27634817361831665","0.27634817361831665","0.27634817361831665","0.2957037389278412","0.2957037389278412","0.2957037389278412","0.27847394347190857","0.27847394347190857","0.27847394347190857","0.023607071489095688","0.023607071489095688","0.023607071489095688"
"100","0.28138285875320435","0.28138285875320435","0.28138285875320435","0.2957037389278412","0.2957037389278412","0.2957037389278412","0.2808234691619873","0.2808234691619873","0.2808234691619873","0.02450212650001049","0.02450212650001049","0.02450212650001049"
"101","0.2836205065250397","0.2836205065250397","0.2836205065250397","0.2957037389278412","0.2957037389278412","0.2957037389278412","0.28294920921325684","0.28294920921325684","0.28294920921325684","0.025285299867391586","0.025285299867391586","0.025285299867391586"
"102","0.28641754388809204","0.28641754388809204","0.28641754388809204","0.2957037389278412","0.2957037389278412","0.2957037389278412","0.2839561402797699","0.2839561402797699","0.2839561402797699","0.02685164473950863","0.02685164473950863","0.02685164473950863"
"103","0.2887670695781708","0.2887670695781708","0.2887670695781708","0.2957037389278412","0.2957037389278412","0.2957037389278412","0.28529873490333557","0.28529873490333557","0.28529873490333557","0.027299173176288605","0.027299173176288605","0.027299173176288605"
"104","0.29010963439941406","0.29010963439941406","0.29010963439941406","0.2955918610095978","0.2955918610095978","0.2955918610095978","0.2870888411998749","0.2870888411998749","0.2870888411998749","0.02841799147427082","0.02841799147427082","0.02841799147427082"
"105","0.2923472821712494","0.2923472821712494","0.2923472821712494","0.2957037389278412","0.2957037389278412","0.2957037389278412","0.2894383668899536","0.2894383668899536","0.2894383668899536","0.03076750971376896","0.03076750971376896","0.03076750971376896"
"106","0.2941373884677887","0.2941373884677887","0.2941373884677887","0.2957037389278412","0.2957037389278412","0.2957037389278412","0.29022154211997986","0.29022154211997986","0.29022154211997986","0.03334079310297966","0.03334079310297966","0.03334079310297966"
"107","0.29480868577957153","0.29480868577957153","0.29480868577957153","0.2958156168460846","0.2958156168460846","0.2958156168460846","0.2910047173500061","0.2910047173500061","0.2910047173500061","0.034795258194208145","0.034795258194208145","0.034795258194208145"
"108","0.2958156168460846","0.2958156168460846","0.2958156168460846","0.2960393726825714","0.2960393726825714","0.2960393726825714","0.29156410694122314","0.29156410694122314","0.29156410694122314","0.036809131503105164","0.036809131503105164","0.036809131503105164"
"109","0.2961512804031372","0.2961512804031372","0.2961512804031372","0.2960393726825714","0.2960393726825714","0.2960393726825714","0.2923472821712494","0.2923472821712494","0.2923472821712494","0.038151711225509644","0.038151711225509644","0.038151711225509644"
"110","0.29671066999435425","0.29671066999435425","0.29671066999435425","0.2961512804031372","0.2961512804031372","0.2961512804031372","0.292682945728302","0.292682945728302","0.292682945728302","0.039718057960271835","0.039718057960271835","0.039718057960271835"
"111","0.2972700893878937","0.2972700893878937","0.2972700893878937","0.2961512804031372","0.2961512804031372","0.2961512804031372","0.2930185794830322","0.2930185794830322","0.2930185794830322","0.041731931269168854","0.041731931269168854","0.041731931269168854"
"112","0.2974938452243805","0.2974938452243805","0.2974938452243805","0.2962631583213806","0.2962631583213806","0.2962631583213806","0.29357799887657166","0.29357799887657166","0.29357799887657166","0.04307451471686363","0.04307451471686363","0.04307451471686363"
"113","0.2979413866996765","0.2979413866996765","0.2979413866996765","0.2962631583213806","0.2962631583213806","0.2962631583213806","0.2939136326313019","0.2939136326313019","0.2939136326313019","0.04441709443926811","0.04441709443926811","0.04441709443926811"
"114","0.2979413866996765","0.2979413866996765","0.2979413866996765","0.296375036239624","0.296375036239624","0.296375036239624","0.2942492663860321","0.2942492663860321","0.2942492663860321","0.04643097147345543","0.04643097147345543","0.04643097147345543"
"115","0.2978295087814331","0.2978295087814331","0.2978295087814331","0.296375036239624","0.296375036239624","0.296375036239624","0.2944730520248413","0.2944730520248413","0.2944730520248413","0.048221077769994736","0.048221077769994736","0.048221077769994736"
