"Step","model.output_scaling: 1.5 - ntk/relative_distance","model.output_scaling: 1.5 - ntk/relative_distance__MIN","model.output_scaling: 1.5 - ntk/relative_distance__MAX","model.output_scaling: 1.25 - ntk/relative_distance","model.output_scaling: 1.25 - ntk/relative_distance__MIN","model.output_scaling: 1.25 - ntk/relative_distance__MAX","model.output_scaling: 1 - ntk/relative_distance","model.output_scaling: 1 - ntk/relative_distance__MIN","model.output_scaling: 1 - ntk/relative_distance__MAX","model.output_scaling: 0.75 - ntk/relative_distance","model.output_scaling: 0.75 - ntk/relative_distance__MIN","model.output_scaling: 0.75 - ntk/relative_distance__MAX","model.output_scaling: 0.5 - ntk/relative_distance","model.output_scaling: 0.5 - ntk/relative_distance__MIN","model.output_scaling: 0.5 - ntk/relative_distance__MAX"
"7800","6773.56748046875","4813.6572265625","7894.61669921875","7482.59150390625","2624.61181640625","13347.52734375","6794.42626953125","4226.53466796875","9430.4775390625","10231.556884765625","4013.802978515625","21345.1171875","7393.608178710938","1702.8106689453125","13742.8095703125"
"8000","6396.8068359375","4270.8408203125","8434.923828125","7707.782080078125","2613.052001953125","14967.6201171875","7719.5751953125","4430.384765625","10583.0966796875","11599.56611328125","4584.01318359375","24189.44140625","10621.72294921875","2278.42724609375","17085.7265625"
"8200","6223.39130859375","3941.4619140625","9291.5849609375","8101.280859375","2753.2421875","16553.87890625","8782.92275390625","4684.63818359375","12386.6044921875","12910.65234375","5149.08203125","26920.677734375","12524.939208984375","2313.175048828125","22586.40625"
"8400","6206.743505859375","3765.750732421875","10284.162109375","8634.592724609374","2999.137451171875","18073.69140625","9989.01865234375","5016.53173828125","15624.619140625","14146.39580078125","5544.708984375","29583.548828125","13749.946826171876","2581.222412109375","24853.615234375"
"8600","6505.98134765625","3703.73291015625","12312.357421875","9294.107861328124","3317.488525390625","19516.576171875","11334.58720703125","5442.6884765625","19402.927734375","15349.68017578125","5476.4365234375","32315.1875","15096.37568359375","3157.091064453125","27931.125"
"8800","25513.78857421875","3735.8173828125","107407.6484375","10079.012451171875","3706.148193359375","20893.9140625","12789.79189453125","5966.21826171875","23606.1796875","16591.6658203125","5466.3466796875","35154.15234375","17237.295751953126","3238.572021484375","33116.5703125"
"9000","21026.61943359375","3915.697265625","84517.53125","10911.58203125","4166.76220703125","21844.013671875","14267.61796875","6583.54296875","27841.001953125","17873.1189453125","5629.8466796875","37973.94921875","20693.0927734375","3127.34228515625","39803.14453125"
"9200","11477.6349609375","4867.1328125","34868.52734375","12795.3947265625","4815.69921875","27300.796875","15569.24189453125","7474.87841796875","30547.8671875","20585.72021484375","7622.62451171875","40566.4921875","17609.560009765624","3150.918701171875","47391.2734375"
"9400","41607.75078125","5740.41845703125","170962.4375","47468.1384765625","7378.509765625","192923.828125","38218.087109375","16564.166015625","87636.5390625","40670.9646484375","14663.1533203125","94920.2265625","20772.294384765624","1025.57861328125","65589.265625"
"9600","55763.1564453125","11546.61328125","121083.0859375","45690.503125","22675.57421875","70724.5","34667.3935546875","15287.4267578125","56921.55859375","14636.3291015625","5385.5322265625","44584.0078125","32459.488330078126","3613.741943359375","88912.6640625"
"9800","68347.2794921875","9717.0341796875","146897.40625","42670.25078125","23691.48046875","56598.4296875","10047.8083984375","6809.29931640625","14359.2421875","6592.64072265625","3287.42138671875","10130.4375","37896.396728515625","4021.560302734375","114526.5078125"
"10000","29216.0953125","9014.05859375","55998.42578125","16394.1625","11903.142578125","19265.84765625","6404.255859375","5289.97998046875","7549.77490234375","8117.39423828125","3355.73095703125","14647.201171875","43490.30615234375","4501.9150390625","142629.71875"
