steps,attn-pre-qk__attn_out_eff_rank,attn-pre-qk__attn_score_entropy,attn-pre__attn_out_eff_rank,attn-pre__attn_score_entropy,attn-pre-v__attn_out_eff_rank,attn-pre-v__attn_score_entropy,mlp-pre__attn_out_eff_rank,mlp-pre__attn_score_entropy,pre-v__attn_out_eff_rank,pre-v__attn_score_entropy,off__attn_out_eff_rank,off__attn_score_entropy
3200,27.562100982666017,0.625847578048706,30.888862228393556,0.8770362973213196,18.082756423950194,0.9722456932067871,18.165886306762694,1.0986091852188111,19.130569839477538,1.098611545562744,26.484836196899415,0.9046451330184937
3400,27.507893371582032,0.6270746707916259,29.575900268554687,0.8724939823150635,18.32078742980957,0.972621214389801,17.885363388061524,1.098610782623291,19.410973358154298,1.0985944509506225,26.507111740112304,0.9085795164108277
3600,27.634640884399413,0.6291792035102844,28.621419143676757,0.8865687608718872,18.506450271606447,0.971708357334137,17.235585021972657,1.0986114501953126,21.60491065979004,1.0986092329025268,26.526758193969727,0.9122520327568054
3800,27.534421539306642,0.6291932940483094,27.928126907348634,0.9108278036117554,18.4276985168457,0.9697824358940125,16.41857738494873,1.0986119747161864,19.522367095947267,1.09861159324646,26.550707244873045,0.9157484889030456
4000,27.552154541015625,0.6301493048667908,27.13800926208496,0.9187241911888122,18.351758575439455,0.9700054883956909,14.519609451293945,1.0986111879348754,20.719430923461914,1.0986109495162963,26.5426082611084,0.9191311478614808
4200,27.540148162841795,0.6314966320991516,26.392993545532228,0.9273716807365417,18.24163398742676,0.9705048561096191,16.370067024230956,1.0986059188842774,18.70272750854492,1.0986092567443848,26.533367538452147,0.9224337697029114
4400,27.543436431884764,0.6332982182502747,25.510060501098632,0.9148262143135071,17.949088287353515,0.971156096458435,16.138222885131835,1.0986105680465699,18.275671005249023,1.0986111164093018,26.48317108154297,0.925723922252655
4600,27.484933853149414,0.6351802945137024,24.985937118530273,0.9238152027130127,18.204330062866212,0.970940625667572,15.918908500671387,1.0986114263534545,19.381031799316407,1.098612117767334,26.387370681762697,0.9290195345878601
4800,27.52240333557129,0.6375375270843506,23.97873649597168,0.93014475107193,18.17223014831543,0.9676367163658142,16.580818748474123,1.0986119985580445,18.34538860321045,1.0986022472381591,26.215404891967772,0.932316780090332
5000,27.425290298461913,0.6397420287132263,23.038742065429688,0.9383538961410522,18.199076080322264,0.9679529786109924,16.076997375488283,1.098612093925476,21.90342025756836,1.0986061334609984,25.908024978637695,0.9355831861495971
5200,27.41636428833008,0.6423381447792054,21.921871185302734,0.9692941784858704,18.14501037597656,0.9672711491584778,15.034453773498536,1.098610806465149,18.75286235809326,1.0986063957214356,25.475271224975586,0.9387447595596313
5400,27.417579650878906,0.6451627135276794,21.324591827392577,0.9720268964767456,18.077304458618165,0.9673377871513367,16.215840148925782,1.098611545562744,20.410350799560547,1.0986090660095216,24.913615417480468,0.9417508244514465
5600,27.433769989013673,0.6481104969978333,21.03223419189453,0.9741201639175415,17.98939781188965,0.9682239890098572,15.448123931884766,1.0986121416091919,18.465422058105467,1.0986116886138917,24.236002731323243,0.944593608379364
5800,27.43709716796875,0.6510451793670654,20.874837493896486,0.9675257205963135,18.114764404296874,0.9701384425163269,15.629781341552734,1.0986122131347655,18.68504981994629,1.0986068487167358,23.451064682006837,0.9473385572433471
6000,27.45568733215332,0.6542832016944885,20.81303176879883,0.9620794296264649,18.248145294189452,0.9675299167633057,16.06308250427246,1.0986101627349854,19.326296997070312,1.09860520362854,22.62252006530762,0.9499266386032105
6200,27.459112930297852,0.6582062482833863,20.40996551513672,0.9666632652282715,18.165508270263672,0.9677505612373352,16.608993148803712,1.0986113548278809,19.768064117431642,1.0985888957977294,21.896719551086427,0.9523287177085876
6400,27.46648826599121,0.6626859068870544,20.336119079589842,0.9926799058914184,18.111364364624023,0.9682650566101074,15.465459060668945,1.0986072540283203,18.920585250854494,1.0986084699630738,21.370336723327636,0.9547245979309082
