"Step","model.ln_type: attn-pre-v - train/loss","model.ln_type: attn-pre-v - train/loss__MIN","model.ln_type: attn-pre-v - train/loss__MAX","model.ln_type: attn-pre-v - train/spec_loss","model.ln_type: attn-pre-v - train/spec_loss__MIN","model.ln_type: attn-pre-v - train/spec_loss__MAX"
"184","0.008022845536470414","0.00765511067584157","0.008623511530458927","4.483349422766003","4.476458606443137","4.492984794993607"
"185","0.007947666198015213","0.007582959719002247","0.008543191477656364","4.483362788848617","4.476463465814181","4.492983170153443"
"186","0.007871696073561908","0.00751002412289381","0.008462072350084782","4.483372913344776","4.476464596520819","4.492978754841709"
"187","0.007795038167387247","0.007436406798660755","0.008380263112485409","4.483379806483415","4.476461846417277","4.4929718239760525"
"188","0.007717789988964796","0.007362210191786289","0.008297846652567387","4.48338360170199","4.4764554445283915","4.492962491434309"
"189","0.007640053611248731","0.007287534419447184","0.008214922621846199","4.483384551460654","4.476445916970441","4.4929506903614795"
"190","0.007561927195638418","0.007212470285594463","0.00813160091638565","4.48338295917962","4.476433839665141","4.492936318346921"
"191","0.007483503688126803","0.007137112785130739","0.008047981187701225","4.483379059627649","4.47641958377565","4.492919360498851"
"192","0.0074048670008778576","0.0070615471340715885","0.00796414352953434","4.483372987369746","4.47640320186852","4.49290000787191"
"193","0.007326102256774903","0.006985856685787439","0.007880164310336113","4.4833647966387895","4.476384514479175","4.492878622437588"
"194","0.007247291319072246","0.0069101182743906975","0.007796134799718857","4.483354550053509","4.476363351883323","4.492855631573829"
"195","0.007168509531766176","0.006834408733993769","0.007712139748036861","4.483342360140233","4.476339699157824","4.492831324784999"
"196","0.007089824788272381","0.006758794654160738","0.007628242019563913","4.483328409841933","4.4763138288094835","4.492805791393894"
"197","0.007011306565254926","0.006683343555778265","0.007544506341218948","4.4833128967904985","4.476286141368156","4.492778912432803"
"198","0.00693301847204566","0.0066081159748137","0.0074610053561627865","4.483295979634188","4.476257023550913","4.492750516331379"
"199","0.0068550193682312965","0.006533172447234392","0.007377803325653076","4.483277757755092","4.476226675200923","4.492720547781707"
"200","0.006777363177388906","0.006458565592765808","0.007294950075447559","4.483258290589279","4.476195102901075","4.492689160629447"
"201","0.006700102146714926","0.006384345702826977","0.007212500087916851","4.483237649720169","4.4761621851341","4.492656663214042"
"202","0.006623282935470343","0.006310558877885342","0.007130502723157406","4.483215943750134","4.476127852580891","4.492623428874436"
"203","0.006546950060874223","0.006237246561795473","0.007049006409943104","4.483193313149483","4.476092170704885","4.492589689161336"
"204","0.006471142079681158","0.006164447870105505","0.006968050263822079","4.483169886457434","4.476055351589635","4.492555468392449"
"205","0.00639589624479413","0.006092199590057135","0.006887670606374741","4.4831457615529","4.47601767575972","4.4925206568377565"
"206","0.006321245804429054","0.006020531058311462","0.006807907018810511","4.483120999404409","4.47597936642522","4.49248509089425"
"207","0.0062472205609083176","0.0059494744054973125","0.006728789769113064","4.483095644613066","4.475940525591387","4.492448752189215"
"208","0.006173847615718842","0.0058790547773242","0.006650346796959639","4.483069757019503","4.475901127999427","4.4924117909779175"
"209","0.006101151462644339","0.005809295456856489","0.006572603713721037","4.4830434163320305","4.475861110699267","4.492374455991546"
"210","0.00602915259078145","0.005740216001868248","0.0064955828711390495","4.483016724804431","4.475820453707235","4.492337000891051"
"211","0.005957870557904243","0.005671835970133543","0.0064193070866167545","4.4829897790371875","4.4757792277174095","4.4922995603927856"
"212","0.005887321289628744","0.005604169797152281","0.006343791726976633","4.482962633969885","4.475737578471856","4.492262098914757"
"213","0.0058175185695290565","0.005537230055779219","0.006269053090363741","4.482935327340217","4.475695671776935","4.492224503338512"
"214","0.0057484742254018785","0.005471030715852976","0.006195102818310261","4.482907871859823","4.475653601178961","4.492186667520841"
"215","0.005680197849869728","0.005405576899647713","0.006121954880654812","4.48288029832466","4.4756114048055355","4.49214860253544"
"216","0.0056126975454390046","0.00534087885171175","0.0060496157966554165","4.482852657492508","4.475569050178579","4.492110444751465"
"217","0.005545978993177414","0.005276941694319248","0.005978092551231384","4.48282500796987","4.47552651655716","4.492072364615306"
"218","0.005480046384036541","0.0052137672901153564","0.00590739119797945","4.482797414386131","4.475483826613065","4.492034512182913"
"219","0.005414902977645397","0.005151360295712948","0.005837516393512487","4.482769913087478","4.475441054541264","4.491996916991109"
"220","0.00535054923966527","0.005089720245450735","0.0057684690691530704","4.4827425234094","4.475398307157933","4.491959512935438"
"221","0.005286986008286476","0.005028848070651293","0.005700249690562487","4.482715246914287","4.4753556670848145","4.491922201072201"
"222","0.005224211886525154","0.00496874051168561","0.005632859189063311","4.482688086063591","4.475313157358883","4.491884911133891"
"223","0.005162223428487778","0.00490939524024725","0.005566293839365244","4.482661060948992","4.475270755507986","4.491847682151777"
"224","0.005101018864661455","0.004850810393691063","0.0055005536414682865","4.482634197417272","4.475228431721901","4.4918106110975895"
"225","0.005040592420846224","0.0047929794527590275","0.005435633007436991","4.48260752805346","4.475186157582349","4.491773822722401"
"226","0.0049809407442808155","0.004735899157822132","0.005371528211981058","4.482581081702525","4.475143968996795","4.4917373947095856"
"227","0.00492205647751689","0.004679561592638493","0.005308234132826328","4.482554859762519","4.475101912098219","4.491701292136287"
"228","0.004863933939486742","0.004623962566256523","0.005245743319392204","4.4825288643366585","4.475060068690849","4.4916654679592725"
"229","0.004806565213948488","0.00456909229978919","0.005184049718081951","4.482503086878836","4.475018456332682","4.491629820084855"
"230","0.004749943781644106","0.004514944273978472","0.005123146343976259","4.482477536303621","4.474977097919295","4.4915943429216805"
"231","0.0046940605156123635","0.004461509641259909","0.005063025280833244","4.482452216691078","4.474935935806823","4.491559065116759"
"232","0.00463890777900815","0.004408782348036766","0.0050036790780723095","4.482427140510819","4.474894940712475","4.4915240647291945"
"233","0.004584476072341204","0.004356751684099436","0.004945095628499985","4.482402318997554","4.474854095428629","4.4914894135136345"
"234","0.004530756734311581","0.004305407404899597","0.004887270275503397","4.482377751703433","4.474813410647915","4.491455115599356"
"235","0.0044777397066354755","0.0042547439225018024","0.004830190446227789","4.482353442864146","4.474772944127822","4.491421153709859"
"236","0.004425416328012943","0.004204748198390007","0.004773848690092564","4.482329372094176","4.4747327180528105","4.491387443631783"
"237","0.004373776260763407","0.004155411850661039","0.0047182347625494","4.482305542812315","4.4746927774682375","4.491353951672659"
"238","0.004322810098528862","0.004106726031750441","0.004663337487727404","4.4822819402869","4.4746530931897555","4.4913206478871555"
"239","0.004272507503628731","0.00405868049710989","0.004609147552400827","4.482258573165112","4.474613643226665","4.4912875766333284"
"240","0.004222858883440495","0.0040112645365297794","0.0045556565746665","4.482235435343551","4.474574378945488","4.491254781994249"
"241","0.0041738545522093775","0.003964469768106937","0.004502852447330952","4.482212527923063","4.474535278229038","4.4912223093656465"
"242","0.004125483985990286","0.0039182864129543304","0.0044507249258458614","4.482189841612627","4.474496349269481","4.491190136214425"
"243","0.004077737219631672","0.0038727023638784885","0.004399264231324196","4.482167365004944","4.474457602020356","4.491158233227853"
"244","0.00403060489334166","0.003827710635960102","0.004348461050540209","4.48214508307278","4.474419057743427","4.491126540318612"
"245","0.003984076576307416","0.003783301217481494","0.004298304673284292","4.482122989131066","4.474380742707456","4.491095017270736"
"246","0.0039381430018693205","0.0037394631654024124","0.004248784389346838","4.482101078222821","4.474342646990597","4.491063679343126"
