"Step","Grouped runs - train/spec_loss","Grouped runs - train/spec_loss__MIN","Grouped runs - train/spec_loss__MAX","Grouped runs - train/loss","Grouped runs - train/loss__MIN","Grouped runs - train/loss__MAX"
"76","4.228791593454656","4.217217746146196","4.239738096452011","3.9295209884643554","3.904242515563965","3.955199956893921"
"77","4.221036040997612","4.2092371706303515","4.232179035641636","3.9108291149139403","3.8851215839385986","3.936788320541382"
"78","4.213099301366422","4.201684257077803","4.224501450592526","3.8915639877319337","3.866178274154663","3.917656421661377"
"79","4.205146032193877","4.193220690639258","4.217575445452626","3.8717817306518554","3.846966505050659","3.8977549076080322"
"80","4.1967871871604085","4.1852528737450765","4.209545732893662","3.8513545036315917","3.8254446983337402","3.877103090286255"
"81","4.188374105354294","4.176964565830349","4.201042370346415","3.830528974533081","3.804994583129883","3.855823040008545"
"82","4.179631669140456","4.1682867484593515","4.193349750170991","3.809216260910034","3.784219741821289","3.8342926502227783"
"83","4.170854845541963","4.159644872306035","4.184697898386782","3.7871162414550783","3.7613701820373535","3.812286615371704"
"84","4.161666824048597","4.150675644048481","4.175334254077023","3.7646501541137694","3.7397050857543945","3.7884719371795654"
"85","4.152271649674215","4.141457997219073","4.166682927779154","3.7412694454193116","3.7160987854003906","3.7647128105163574"
"86","4.142830414361654","4.132084254899522","4.157509139754958","3.7174622058868407","3.6921181678771973","3.740884304046631"
"87","4.132925603692954","4.122452215414139","4.147491564347035","3.692998695373535","3.6679627895355225","3.7151129245758057"
"88","4.122841231178622","4.112571551382964","4.137908113471079","3.667517614364624","3.642009973526001","3.689150810241699"
"89","4.112719206865674","4.10258985685735","4.128286358476826","3.6417815685272217","3.616427421569824","3.6626768112182617"
"90","4.102132411930282","4.092375238166506","4.117519374203848","3.614993524551392","3.589365005493164","3.6346890926361084"
"91","4.091350701207629","4.081876372799301","4.107453454282806","3.587639904022217","3.5617854595184326","3.608325958251953"
"92","4.080703187937687","4.071378142763597","4.097091307232618","3.5597272872924806","3.533778190612793","3.581444025039673"
"93","4.069524239933946","4.0605748736550185","4.08656609359626","3.530942106246948","3.5044727325439453","3.5544583797454834"
"94","4.058322024451522","4.049543128856751","4.075308479297628","3.5018640518188477","3.4750254154205322","3.5267601013183594"
"95","4.046974043812444","4.038075831597645","4.065384207556201","3.4720322132110595","3.444535493850708","3.498598575592041"
"96","4.03576446613068","4.027594878860659","4.054063905672646","3.441530466079712","3.413297414779663","3.469505548477173"
"97","4.023918354175674","4.016009091383736","4.0426245080747085","3.4104324340820313","3.381614923477173","3.4401042461395264"
"98","4.012287184488614","4.004647646136359","4.032155467219971","3.3787043571472166","3.348891496658325","3.4107377529144287"
"99","4.0006153223333465","3.993204750231758","4.0202272870518465","3.3466004848480226","3.315619945526123","3.3807663917541504"
"100","3.9885197307821914","3.9815480895565316","4.008698137576357","3.313727331161499","3.281696319580078","3.350064992904663"
"101","3.9763711415812204","3.9695656527213976","3.997186354910741","3.2801395416259767","3.2469820976257324","3.318695068359375"
"102","3.9644137082867785","3.957601990168549","3.9851815257948724","3.2460909843444825","3.211901903152466","3.2870607376098633"
"103","3.951960572416921","3.944216700121815","3.9734008709616595","3.211543893814087","3.176438570022583","3.255218029022217"
"104","3.939647323555355","3.931124430169994","3.961117426292161","3.1763723850250245","3.140674114227295","3.2226545810699463"
"105","3.927318736837917","3.9177363832994168","3.949127962353615","3.1405033588409426","3.1041066646575928","3.1896164417266846"
"106","3.9147561698810804","3.904694272996143","3.936844714834691","3.1040926456451414","3.0668270587921143","3.1559953689575195"
"107","3.9022219287539115","3.8907837024673597","3.9244381367733556","3.067153310775757","3.0296428203582764","3.121873140335083"
"108","3.889800797512732","3.8780775051035974","3.9120034779449018","3.0297569274902343","2.9922902584075928","3.087618589401245"
"109","3.877050566937471","3.8642624423469214","3.8998424669765717","2.9918860912323","2.954342842102051","3.0529308319091797"
"110","3.864572535690604","3.8511002440893005","3.8869173755530557","2.953377199172974","2.9154770374298096","3.018099546432495"
"111","3.852083582337264","3.8378282137425117","3.8753528990953834","2.9144872665405273","2.8765289783477783","2.9832985401153564"
"112","3.8394700216981477","3.8243665912648503","3.8624719581490727","2.8752070903778075","2.8330178260803223","2.9483482837677"
"113","3.8269814408586407","3.811253217532017","3.8509785386995583","2.8353668212890626","2.78824782371521","2.9133825302124023"
"114","3.814580406429406","3.7975737793414654","3.8384402482030398","2.7950791358947753","2.7428677082061768","2.8779025077819824"
"115","3.802035127225479","3.7846378041856483","3.826725057073646","2.7543374061584474","2.6966817378997803","2.84211802482605"
"116","3.789815058410279","3.7710742954472485","3.8146797304329128","2.7131959438323974","2.649691581726074","2.806739091873169"
"117","3.777149240814756","3.7576980865901035","3.8021601836139665","2.6716715335845946","2.602081298828125","2.7714905738830566"
"118","3.7652960584959203","3.7448845971419615","3.790729457223198","2.6296011924743654","2.553800344467163","2.7352070808410645"
"119","3.752828033590262","3.731176347834371","3.778724864987949","2.5871642589569093","2.504812717437744","2.6986730098724365"
"120","3.7406396357353713","3.7183298672994534","3.765943220406225","2.544235277175903","2.4551451206207275","2.662355422973633"
"121","3.7289092799213903","3.705378924905955","3.754688223478566","2.500644254684448","2.40486216545105","2.6254682540893555"
"122","3.7166617151302903","3.692237472567792","3.742876682679745","2.456663990020752","2.354102373123169","2.587817668914795"
"123","3.704824311630135","3.67974200582416","3.730014532808418","2.412443208694458","2.3030178546905518","2.550218105316162"
"124","3.6932245230214007","3.6672338555208333","3.7189173616087627","2.36766676902771","2.25168514251709","2.512281656265259"
"125","3.6813493333090874","3.6546688553833553","3.707139732560775","2.3222993850708007","2.200018882751465","2.473661184310913"
"126","3.669949937135622","3.6429053532430458","3.694716930250057","2.2766609668731688","2.147989273071289","2.4347925186157227"
"127","3.6585142072403762","3.630421839995298","3.6834774473125065","2.2308230876922606","2.0956623554229736","2.395587205886841"
"128","3.6470904011970857","3.618734324094655","3.6716483613315365","2.1848072052001952","2.0431594848632812","2.3559279441833496"
"129","3.6361504867755956","3.606767645764821","3.6597987385548287","2.138235068321228","1.9904807806015015","2.3158650398254395"
