"Step","model.ln_type: pre - train/spec_accuracy","model.ln_type: pre - train/spec_accuracy__MIN","model.ln_type: pre - train/spec_accuracy__MAX","model.ln_type: pre - train/accuracy","model.ln_type: pre - train/accuracy__MIN","model.ln_type: pre - train/accuracy__MAX","model.ln_type: attn-pre - train/spec_accuracy","model.ln_type: attn-pre - train/spec_accuracy__MIN","model.ln_type: attn-pre - train/spec_accuracy__MAX","model.ln_type: attn-pre - train/accuracy","model.ln_type: attn-pre - train/accuracy__MIN","model.ln_type: attn-pre - train/accuracy__MAX","model.ln_type: mlp-pre - train/spec_accuracy","model.ln_type: mlp-pre - train/spec_accuracy__MIN","model.ln_type: mlp-pre - train/spec_accuracy__MAX","model.ln_type: mlp-pre - train/accuracy","model.ln_type: mlp-pre - train/accuracy__MIN","model.ln_type: mlp-pre - train/accuracy__MAX"
"22","0.015296266786754132","0.009919080883264542","0.022448446601629257","0.1926911950111389","0.1790655106306076","0.20308013260364532","0.0225528571754694","0.020621247589588165","0.025841815397143364","0.12085617035627365","0.11302531510591507","0.1276429146528244","0.022813885658979415","0.015400677919387817","0.02610284462571144","0.05225789397954941","0.04228660836815834","0.058209341019392014"
"23","0.01613155771046877","0.010180109180510044","0.022709473967552185","0.20354998111724854","0.192377969622612","0.21508744359016418","0.02229182906448841","0.019838161766529083","0.025580788031220436","0.12962672263383865","0.12268336862325668","0.1362568438053131","0.02448446787893772","0.015922734513878822","0.02819107100367546","0.0552336186170578","0.044896893203258514","0.06160271167755127"
"24","0.016444791667163373","0.010963195003569126","0.02323153056204319","0.2147219955921173","0.20438526570796967","0.22631165385246277","0.022918297350406645","0.019838161766529083","0.026624901220202446","0.13813624978065492","0.1294701099395752","0.14800313115119934","0.025371965020895004","0.01931610517203808","0.028713129460811615","0.057217434793710706","0.045679979026317596","0.0647350549697876"
"25","0.017175671458244324","0.012529365718364716","0.024014616385102272","0.22474548518657683","0.21639257669448853","0.2351866215467453","0.023179326206445694","0.02009919099509716","0.026885930448770523","0.14821195006370544","0.13651788234710693","0.15766118466854095","0.028034454956650735","0.021926390007138252","0.031062385067343712","0.060767422616481784","0.047768205404281616","0.06838945299386978"
"26","0.017541111446917057","0.013312450610101223","0.024797702208161354","0.23544765412807464","0.22787782549858093","0.24484467506408691","0.023283737152814864","0.020360218361020088","0.027930043637752533","0.15766117870807647","0.14591489732265472","0.16627511382102966","0.03048812225461006","0.02531975880265236","0.03262855485081673","0.0635865293443203","0.054032888263463974","0.07073871046304703"
"27","0.018115374073386193","0.014356564730405807","0.024797702208161354","0.2470895230770111","0.2409292459487915","0.25580787658691406","0.023492559790611267","0.020360218361020088","0.028974156826734543","0.16945966482162475","0.15948837995529175","0.17541112005710602","0.033568257838487624","0.027930043637752533","0.03602192550897598","0.06807621717453002","0.057165227830410004","0.07726442068815231"
"28","0.018167579732835292","0.01461759302765131","0.023492559790611267","0.26061078906059265","0.2563299238681793","0.26703208684921265","0.023335942625999452","0.018794048577547073","0.030540328472852707","0.18235447108745576","0.17175671458244324","0.1876794546842575","0.03523884005844593","0.02923518605530262","0.03732706606388092","0.07303575798869133","0.062124770134687424","0.08352909982204437"
"29","0.018794047459959985","0.015922734513878822","0.022709473967552185","0.27334898710250854","0.2693813443183899","0.2790394127368927","0.023022708669304847","0.01905507594347","0.029757242649793625","0.19336987435817718","0.1819368302822113","0.20020881295204163","0.038893237709999084","0.030801355838775635","0.042808663100004196","0.0770033910870552","0.06395196914672852","0.08822761476039886"
"30","0.019002870470285416","0.016444791108369827","0.022970503196120262","0.2851474702358246","0.2819107174873352","0.2905246615409851","0.023388148471713065","0.019577132537961006","0.031062385067343712","0.206369087100029","0.19655442237854004","0.21169406175613403","0.043487338721752165","0.031845469027757645","0.047768205404281616","0.08352910131216049","0.06838945299386978","0.09788566827774048"
"31","0.01973375044763088","0.017749933525919914","0.023753589019179344","0.29715477824211123","0.2944400906562805","0.30148786306381226","0.022866091132164","0.019577132537961006","0.029757242649793625","0.21889844834804534","0.2085617184638977","0.22526754438877106","0.04677629694342613","0.03341164067387581","0.0542939156293869","0.08989819586277008","0.07256590574979782","0.10728269070386887"
"32","0.020046984404325487","0.01801096275448799","0.02323153056204319","0.3093709111213684","0.3059253394603729","0.3134951591491699","0.0225528571754694","0.020360218361020088","0.027669014409184456","0.23241972625255586","0.22109109163284302","0.24119028449058533","0.05079613476991653","0.03497781231999397","0.058992426842451096","0.09778125286102295","0.07491516321897507","0.11354736983776093"
"33","0.020308012887835503","0.017749933525919914","0.022970503196120262","0.3216392457485199","0.3150613307952881","0.3275907039642334","0.022500652074813842","0.01905507594347","0.028452100232243538","0.24380056262016297","0.23179325461387634","0.2534586191177368","0.05262333303689957","0.03732706606388092","0.058992426842451096","0.10796136409044266","0.08196292817592621","0.12633776664733887"
"34","0.021299920976161957","0.01827199012041092","0.023492559790611267","0.33380317091941836","0.32785171270370483","0.33855387568473816","0.022291829437017442","0.018794048577547073","0.028974156826734543","0.2577916860580444","0.24484467506408691","0.26703208684921265","0.05632993876934052","0.04045940935611725","0.06342991441488266","0.11803706139326095","0.09292612224817276","0.13573479652404785"
"35","0.02187418341636658","0.017749933525919914","0.024797702208161354","0.3454972505569458","0.33933696150779724","0.35003915429115295","0.02265726886689663","0.01931610517203808","0.029757242649793625","0.27058207988739014","0.2615504860877991","0.27930042147636414","0.058104931563138965","0.043852780014276505","0.06551814079284668","0.1270686462521553","0.10049594938755035","0.14408770203590393"
"36","0.022552857547998427","0.018794048577547073","0.025841815397143364","0.35896630883216857","0.35108324885368347","0.36335158348083496","0.02276168093085289","0.018794048577547073","0.02923518605530262","0.2837379157543182","0.2753849923610687","0.29209083318710327","0.06196815073490143","0.049856431782245636","0.07099973410367966","0.13714434206485748","0.10676063597202301","0.1532236933708191"
"37","0.02286609187722206","0.018794048577547073","0.02610284462571144","0.37394934296607973","0.36596187949180603","0.3792743384838104","0.022970503196120262","0.018794048577547073","0.028974156826734543","0.29668493270874025","0.28921952843666077","0.3059253394603729","0.06494387537240982","0.05638214200735092","0.07256590574979782","0.14810753762722015","0.12007308006286621","0.1628817468881607"
"38","0.022970502823591234","0.018533019348978996","0.02610284462571144","0.38705297708511355","0.38318976759910583","0.38919341564178467","0.023179325461387634","0.01827199012041092","0.028713129460811615","0.3099973797798157","0.3038371205329895","0.3181936740875244","0.0680240124464035","0.06029757112264633","0.07361002266407013","0.15844426453113555","0.12607674300670624","0.17123465240001678"
"39","0.022709474340081214","0.018794048577547073","0.025841815397143364","0.4003132164478302","0.3972852826118469","0.4035499691963196","0.02323153167963028","0.018794048577547073","0.027407987043261528","0.32508482336997985","0.3192377984523773","0.3325502276420593","0.06985121071338654","0.06395196914672852","0.07439310848712921","0.16925084292888642","0.13730096817016602","0.18298093974590302"
